Year,Award,Winner,Film,Nominee,Type
2001,Directing,True,A Beautiful Mind,Ron Howard,Academy Award
2001,Directing,False,Black Hawk Down,Ridley Scott,Academy Award
2001,Directing,False,Gosford Park,Robert Altman,Academy Award
2001,Directing,False,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Academy Award
2001,Directing,False,Mulholland Drive,David Lynch,Academy Award
2002,Directing,False,Chicago,Rob Marshall,Academy Award
2002,Directing,False,Gangs of New York,Martin Scorsese,Academy Award
2002,Directing,False,The Hours,Stephen Daldry,Academy Award
2002,Directing,True,The Pianist,Roman Polanski,Academy Award
2002,Directing,False,Talk to Her,Pedro Almodóvar,Academy Award
2003,Directing,False,City of God,Fernando Meirelles,Academy Award
2003,Directing,True,The Lord of the Rings: The Return of the King,Peter Jackson,Academy Award
2003,Directing,False,Lost in Translation,Sofia Coppola,Academy Award
2003,Directing,False,Master and Commander: The Far Side of the World,Peter Weir,Academy Award
2003,Directing,False,Mystic River,Clint Eastwood,Academy Award
2004,Directing,False,The Aviator,Martin Scorsese,Academy Award
2004,Directing,True,Million Dollar Baby,Clint Eastwood,Academy Award
2004,Directing,False,Ray,Taylor Hackford,Academy Award
2004,Directing,False,Sideways,Alexander Payne,Academy Award
2004,Directing,False,Vera Drake,Mike Leigh,Academy Award
2005,Directing,True,Brokeback Mountain,Ang Lee,Academy Award
2005,Directing,False,Capote,Bennett Miller,Academy Award
2005,Directing,False,Crash,Paul Haggis,Academy Award
2005,Directing,False,"Good Night, and Good Luck.",George Clooney,Academy Award
2005,Directing,False,Munich,Steven Spielberg,Academy Award
2006,Directing,False,Babel,Alejandro González Iñárritu,Academy Award
2006,Directing,True,The Departed,Martin Scorsese,Academy Award
2006,Directing,False,Letters from Iwo Jima,Clint Eastwood,Academy Award
2006,Directing,False,The Queen,Stephen Frears,Academy Award
2006,Directing,False,United 93,Paul Greengrass,Academy Award
2007,Directing,False,The Diving Bell and the Butterfly,Julian Schnabel,Academy Award
2007,Directing,False,Juno,Jason Reitman,Academy Award
2007,Directing,False,Michael Clayton,Tony Gilroy,Academy Award
2007,Directing,True,No Country for Old Men,Joel Coen and Ethan Coen,Academy Award
2007,Directing,False,There Will Be Blood,Paul Thomas Anderson,Academy Award
2008,Directing,False,The Curious Case of Benjamin Button,David Fincher,Academy Award
2008,Directing,False,Frost/Nixon,Ron Howard,Academy Award
2008,Directing,False,Milk,Gus Van Sant,Academy Award
2008,Directing,False,The Reader,Stephen Daldry,Academy Award
2008,Directing,True,Slumdog Millionaire,Danny Boyle,Academy Award
2009,Directing,False,Avatar,James Cameron,Academy Award
2009,Directing,True,The Hurt Locker,Kathryn Bigelow,Academy Award
2009,Directing,False,Inglourious Basterds,Quentin Tarantino,Academy Award
2009,Directing,False,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,Academy Award
2009,Directing,False,Up in the Air,Jason Reitman,Academy Award
2010,Directing,False,Black Swan,Darren Aronofsky,Academy Award
2010,Directing,False,The Fighter,David O. Russell,Academy Award
2010,Directing,True,The King's Speech,Tom Hooper,Academy Award
2010,Directing,False,The Social Network,David Fincher,Academy Award
2010,Directing,False,True Grit,Joel Coen and Ethan Coen,Academy Award
2011,Directing,True,The Artist,Michel Hazanavicius,Academy Award
2011,Directing,False,The Descendants,Alexander Payne,Academy Award
2011,Directing,False,Hugo,Martin Scorsese,Academy Award
2011,Directing,False,Midnight in Paris,Woody Allen,Academy Award
2011,Directing,False,The Tree of Life,Terrence Malick,Academy Award
2012,Directing,False,Amour,Michael Haneke,Academy Award
2012,Directing,False,Beasts of the Southern Wild,Benh Zeitlin,Academy Award
2012,Directing,True,Life of Pi,Ang Lee,Academy Award
2012,Directing,False,Lincoln,Steven Spielberg,Academy Award
2012,Directing,False,Silver Linings Playbook,David O. Russell,Academy Award
2013,Directing,False,American Hustle,David O. Russell,Academy Award
2013,Directing,True,Gravity,Alfonso Cuarón,Academy Award
2013,Directing,False,Nebraska,Alexander Payne,Academy Award
2013,Directing,False,12 Years a Slave,Steve McQueen,Academy Award
2013,Directing,False,The Wolf of Wall Street,Martin Scorsese,Academy Award
2014,Directing,True,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,Academy Award
2014,Directing,False,Boyhood,Richard Linklater,Academy Award
2014,Directing,False,Foxcatcher,Bennett Miller,Academy Award
2014,Directing,False,The Grand Budapest Hotel,Wes Anderson,Academy Award
2014,Directing,False,The Imitation Game,Morten Tyldum,Academy Award
2015,Directing,False,The Big Short,Adam McKay,Academy Award
2015,Directing,False,Mad Max: Fury Road,George Miller,Academy Award
2015,Directing,True,The Revenant,Alejandro González Iñárritu,Academy Award
2015,Directing,False,Room,Lenny Abrahamson,Academy Award
2015,Directing,False,Spotlight,Tom McCarthy,Academy Award
2016,Directing,True,La La Land,	Damien Chazelle,Academy Award
2016,Directing,False,Hacksaw Ridge,Mel Gibson	,Academy Award
2016,Directing,False,Moonlight,Barry Jenkins	,Academy Award
2016,Directing,False,Manchester by the Sea,Kenneth Lonergan	,Academy Award
2016,Directing,False,Arrival,Denis Villeneuve	,Academy Award
